what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1347501360761
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347501362358
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347501362374
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347501362374
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347501515289
activated,editor,org.python.pydev,2.5.0.2012040618,"org.python.pydev.editor.PythonEditor",1347501517257
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1347501551431
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1347501560666
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1347501564885
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347501580167
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347501584370
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347501584370
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347501584698
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347501606278
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347501611700
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347501611731
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347501611731
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347501940295
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347501941201
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347501941201
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347501942029
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347501942029
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347502508818
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347502530296
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347502570472
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347502570925
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347502570925
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347502572283
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347502584005
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347502624024
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347502627677
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347502628348
activated,view,org.python.pydev,2.5.0.2012040618,"org.python.pydev.navigator.view",1347502636136
closed,editor,org.python.pydev,2.5.0.2012040618,"org.python.pydev.editor.PythonEditor",1347502636136
closed,editor,org.python.pydev,2.5.0.2012040618,"org.python.pydev.editor.PythonEditor",1347502636167
closed,editor,org.python.pydev,2.5.0.2012040618,"org.python.pydev.editor.PythonEditor",1347502636183
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347502639523
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347503186337
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347503188834
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347503188834
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347503189895
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347503200743
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347503426477
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347503427382
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347503427913
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347503667179
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347503667725
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347503669036
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347504369437
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347504370239
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347504370239
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347504370364
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347505285822
started,bundle,org.python.pydev.customizations,2.5.0.2012040618,"org.python.pydev.customizations",1347505289600
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1347505291443
opened,editor,org.python.pydev,2.5.0.2012040618,"org.python.pydev.editor.PythonEditor",1347505296423
activated,editor,org.python.pydev,2.5.0.2012040618,"org.python.pydev.editor.PythonEditor",1347505296517
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347505334782
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347505664376
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347505667454
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347505670470
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347505673908
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347505673923
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347505673939
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347505677736
opened,editor,org.python.pydev,2.5.0.2012040618,"org.python.pydev.editor.PythonEditor",1347505690221
activated,editor,org.python.pydev,2.5.0.2012040618,"org.python.pydev.editor.PythonEditor",1347505690346
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347505752882
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1347505759038
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1347505763179
